,Unnamed: 0,id,top_chart_position_free,top_chart_position_grossing,tHealth&Fitness,tLocation,tContactInfo,tDiagnostics,tSensitiveInfo,tUsageData,tBrowsingHistory,tContacts,tPurchases,tIdentifiers,tOtherData,tFinancialInfo,tSearchHistory,tUserContent,lHealth&Fitness,lLocation,lContactInfo,lDiagnostics,lSensitiveInfo,lUsageData,lBrowsingHistory,lContacts,lPurchases,lIdentifiers,lOtherData,lFinancialInfo,lSearchHistory,lUserContent,uHealth&Fitness,uLocation,uContactInfo,uDiagnostics,uSensitiveInfo,uUsageData,uBrowsingHistory,uContacts,uPurchases,uIdentifiers,uOtherData,uFinancialInfo,uSearchHistory,uUserContent,primaryGenreId,size,developerId,score,reviews,price,free,tracking_count,linked_count,unlinked_count,all_count,has_tracking,has_linked,has_unlinked,has_any
Unnamed: 0,1.0,0.0016039965985503687,0.11961393071054464,0.1296706836387338,0.0030580318731182193,-0.0772262290565198,-0.06542759533905461,-0.05861365919910734,-0.009497132897545058,-0.09506738142798557,-0.026402699829300044,0.0306206871358323,-0.012586747983382699,-0.09007504197086937,-0.03509741011618361,-0.024642756303130866,-0.04881076844021041,0.013774646980714607,0.024568217170124026,-0.09466954986883379,-0.04023226779842378,-0.04621806687121906,0.00841192894469693,-0.07236517510525674,-0.03371595819935228,-0.004354375661940205,-0.026719510078242022,-0.050730383203149904,-0.03973314041469548,-0.11799635340096845,-0.09248747076145429,-0.003547573655532176,0.0031758016756120314,-0.06610703935856999,0.00927998722049,-0.04151100548581483,0.004039125465104408,-0.040600599793960614,0.002754117919823556,0.006684144505623313,-0.0028515886869711804,-0.033357804249837655,0.00886152339278232,-0.03996739273385803,-0.041399333133816364,0.0021415646737513623,-0.1175666738404263,-0.08549232616742529,0.0021708006011572304,-0.02064338920912031,-0.23072609533201102,0.26341468072692764,-0.26339016879696986,-0.11044919612444637,-0.07258508119013482,-0.05696143928987786,-0.11999199958607745,-0.10723276889702511,-0.05580104106598413,-0.06259496865688878,-0.09810695455206267
id,0.0016039965985503687,1.0,0.1643708332011618,0.1648260474144158,-0.007202958849344356,-0.11205559429318784,-0.09622234609352856,0.04128842828574123,0.0016081013423875482,-0.06700194284969566,-0.06849336082908732,-0.05658623999496192,-0.005781577562249552,-0.05202182686555446,0.00592566336647745,-0.0009824870153322294,-0.07648786614091917,-0.022531203997047854,-0.03023691409446029,-0.13506844866705525,-0.1830609630843874,-0.11129170646699846,-0.042929622036761685,-0.13245824648129753,-0.08254150551526494,-0.09984855076020023,-0.0875419713628403,-0.17348582380846841,-0.035160133743807,-0.10235468044513814,-0.16763506614897836,-0.16919120033032417,-0.005773746688831924,-0.12112459138681622,0.018559343826029102,-0.03236942641612806,0.005414332371491703,-0.0005830687098277394,-0.02190172799389697,-0.02687987672241137,0.09303126217974189,0.03207629293568079,0.014252899506505436,-0.011271491088257386,-0.06158571894839459,0.02325507255508638,0.04408315071585247,-0.07138322807142242,0.6519807855814042,0.005087914966727912,-0.29118534498106796,-0.0658142173099512,0.06486834993992958,-0.069968105070826,-0.1935045683168149,-0.017240595235140037,-0.17897712514807235,-0.05572534205934281,-0.14815374200520348,-0.02097595569121391,-0.08118517523564865
top_chart_position_free,0.11961393071054464,0.1643708332011618,1.0,,-0.02570305084448513,-0.0599754029152151,-0.0751117834204475,0.007932548907894674,-0.015551289478227794,-0.07331503035274,-0.04058476706991057,-0.009916520315269193,-0.07341204958904922,-0.11776334982572925,-0.04202501335026953,-0.018883779743059343,-0.0540963734843186,-0.018289457905966974,-0.04996203614119442,-0.10018929231577517,-0.07905429030002438,-0.1043470135447016,-0.06751069252665205,-0.13566523015384083,-0.06398011760187655,-0.048481362672602425,-0.10676462368294433,-0.12063088635256917,-0.08621819190884714,-0.07557346072126424,-0.12754366759637867,-0.09858330568694108,-0.014495847087756798,-0.012282704892592615,0.0123904218425168,-0.03425120002361414,-0.009772091024508808,-0.0031440801891302254,-0.011011076912022886,-0.020689995549138824,-0.013931263436508426,-0.012580377893232873,0.0006801960690267848,0.013027094371595892,-0.02870805216035298,-0.020537834707444982,-0.017275079530612497,-0.1493654642231554,0.12321046006998719,-0.10701824075058171,-0.4438663684714317,0.040373475089006614,-0.040413735837638666,-0.1153259922652184,-0.14263982169157302,-0.025110517355606845,-0.17093793737923715,-0.11526825152133012,-0.08604592815263153,-0.023595035982243058,-0.10548145677773965
top_chart_position_grossing,0.1296706836387338,0.1648260474144158,,1.0,0.01584347762780315,-0.07774177248350567,-0.06908653804127214,0.006856963626758332,-0.02087767452159899,-0.047533494364242264,-0.009281285984508213,-0.0692640793543207,-0.04179545995487186,-0.07000518237514912,-0.01167526286108709,-0.01793941783332336,-0.022898081131233438,-0.0267380770112965,0.038400166912193265,-0.03676563077938794,-0.14950846683983968,-0.06243029325928269,0.013721760352060765,-0.06689883186196588,-0.03834243508281928,-0.048387633526266904,-0.0746583572554351,-0.13322675252291763,-0.025663026260021933,-0.04348994373263049,-0.07560943595984629,-0.1345084201993006,0.024221978771806874,-0.05284473275216228,0.0009464886396904094,-0.018512754517360654,-0.023103640797362192,-0.00024525830205898155,-0.012010953361499915,0.005063577704038903,0.03683272052712563,-0.02989054712194444,0.006506172372716973,-0.019369931886926456,-0.022427262531758047,-0.0007649794915615566,-0.14673068846667647,-0.06549838723984387,0.12538290573553773,-0.011156641927248832,-0.2016840202587238,-0.04234646583902837,0.038072945542734195,-0.07234343722726927,-0.13061098183665548,-0.023565531563668692,-0.11590589880186464,-0.06747669345291987,-0.12215714447709497,-0.01748379782985227,-0.06579028550105512
tHealth&Fitness,0.0030580318731182193,-0.007202958849344356,-0.02570305084448513,0.01584347762780315,1.0,0.04623491273874587,0.07525167815336668,0.04941485006851093,0.07298763308184504,0.047983779486417716,0.03671383014245621,0.04031171556281341,0.04865672836930037,0.04248007516251799,0.015254476877634959,0.05868654963484377,0.014676262248811306,0.05644330371668928,0.19268799781630397,0.04137798840371616,0.030351138365538505,0.04646095950634986,0.04690475839875869,0.042090404530491336,0.025389031694782207,0.006376737247308391,0.028007635272000054,0.03314978685177912,0.024516909367877922,0.015963535475503936,0.031306431505850246,0.028185199693436407,0.047885048835105824,-0.0115088128830806,0.007119912655743393,-0.004817344593344642,-0.0031690583015758947,-0.022241057954430602,-0.0037383929791508135,0.015814550154625448,-0.005401303590990432,-0.01912570275183062,-0.006902552537287387,-0.005165668603917006,-0.00882571264642418,-0.0027619173067646185,0.003803671604166428,0.012603800117927232,-0.004533983308658464,0.014017806505465429,0.01802037427767468,-0.009514820402474233,0.009519158425886303,0.06885022366110725,0.052319703795673224,-0.009476583404687452,0.06129465089101943,0.04365375629143001,0.03449112910374738,0.005115546416074461,0.016603906791459337
tLocation,-0.0772262290565198,-0.11205559429318784,-0.0599754029152151,-0.07774177248350567,0.04623491273874587,1.0,0.20715523301342575,0.32777137080491014,0.077460261944596,0.4310456804473974,0.09374984833594337,0.12930340914144198,0.27145129902810855,0.39647968517315935,0.20623873581981916,0.11996546245998732,0.17217773559078783,0.21565425469236382,-0.00947773325088186,0.44780313580017894,0.08567944736215963,0.1930124513253453,0.033330293048947926,0.21590966367241324,0.0625901539213346,0.06520715358786255,0.1460334097369301,0.22546403825676664,0.14633194973690505,0.03274233000371806,0.10667457019985864,0.16756787103200835,-0.02238538400625902,0.1697757595489028,-0.030825768966327907,0.06458944989865394,-0.01489584036235521,-0.002827042021047834,-0.0039056646874958234,0.0035526900808715424,0.012101297719265824,0.023649090192252514,0.013704126221238374,-0.013904268551501672,0.036732564488223846,0.043734769914904506,-0.001066932473720107,0.12604570963452,-0.1326532920093238,0.027307635309266394,0.1335456887180014,-0.07636779166732693,0.07654978620538784,0.5508810452298555,0.2553383781546795,0.05619028377060954,0.45588680682826965,0.4181803241843247,0.19559900608423592,0.035772724842414415,0.15905680781339523
tContactInfo,-0.06542759533905461,-0.09622234609352856,-0.0751117834204475,-0.06908653804127214,0.07525167815336668,0.20715523301342575,1.0,0.16639850363494663,0.08858590210251932,0.29589812415703687,0.1503271271847591,0.155245059511811,0.24592530692956907,0.31878246067410176,0.08527904081559187,0.1899588254380995,0.24731348164498138,0.27094564269983584,0.04700078548098382,0.22152063992298537,0.40169120576739187,0.22295043524573996,0.07212312419505006,0.2781721790073552,0.14082166158855772,0.13563833882045315,0.2294953625185369,0.2636240560650678,0.11176526473991852,0.1799887699744952,0.21690732336118757,0.23478788830932357,0.0033557331008872582,-0.0164289512197686,0.020813671824434436,-0.02231194826719773,0.0009276858423261916,-0.1027901268609309,-0.0028962788284394585,0.021591453451340625,-0.015503788769494344,-0.08771356450042753,-0.012323131757620651,0.031050527843403723,0.052308271210800124,-0.011343938088119112,0.10841028629322273,0.0699039985111695,-0.0598830622539897,0.08343326929506073,0.09858952145683843,-0.0754363561739759,0.07554428833824052,0.48381064944183677,0.3579394949700527,-0.05100102664430568,0.42559666171558014,0.3977793762152143,0.28888036563890596,-0.016526916494268448,0.15129721351238845
tDiagnostics,-0.05861365919910734,0.04128842828574123,0.007932548907894674,0.006856963626758332,0.04941485006851093,0.32777137080491014,0.16639850363494663,1.0,0.07289001823720014,0.4499375408218302,0.09857109332729583,0.1582863461209199,0.26896993549765535,0.36706652138081103,0.26259565325814366,0.09974767985831913,0.1313466007952556,0.28048073358301195,-0.0315090866408344,0.16301414241692935,-0.0201845191948601,0.2749739747351805,-0.0057322036139385996,0.1760857965786095,0.04165565401087305,0.06469036412033813,0.091990957292639,0.1257665982780264,0.16044050747792554,-0.013393438278198184,0.01623909452657905,0.02518726063243975,-0.015615050968266233,-0.02704927742680936,-0.017525730988849027,0.022612572022726457,-0.005170381816672997,-0.011006088050483502,0.009323863899775093,-0.01041429586659227,0.047039784825103195,0.04534068202110835,0.017382245867389977,-0.010944683591741883,-0.0027518816022715628,-0.01655354184089362,0.042820300703857034,0.08495836311086327,-0.0033761714722912134,0.03805646335560513,0.12397861970685918,-0.06890636829422739,0.0691058101611352,0.5151794554273492,0.1478084992833146,0.0018174191658199164,0.3539172093364524,0.3710747980592439,0.1134878366716156,-0.005620750684189646,0.14114000450506137
tSensitiveInfo,-0.009497132897545058,0.0016081013423875482,-0.015551289478227794,-0.02087767452159899,0.07298763308184504,0.077460261944596,0.08858590210251932,0.07289001823720014,1.0,0.06080610412048176,0.06361031443926503,0.058790740723036874,0.03905343241423118,0.059996583892857086,0.017171962098931026,0.13093708092222872,0.06634122920417058,0.10582207872935398,0.04289461812144236,0.056678891280605326,0.048842904995577696,0.04597226906671181,0.27274562789058626,0.04647834598434283,0.04485626026099947,0.025817669093974538,0.03212540705022144,0.05120900464565606,0.023682206765331025,0.04887412074180308,0.04247351446765829,0.049747588082926064,0.003347196400802108,-0.004520919966821923,0.00046853445722530595,-0.016015546694419656,0.06236791928707417,-0.006780744855749493,-0.005152217799035061,0.00014195583571354324,-0.011109979334467605,-0.023594311769593077,-0.0032486879461504723,0.0011496877721479419,-0.0021931183584162255,-0.005941013571300005,0.014890096873240957,0.013381058618098383,0.015142385284075672,0.0201285673361808,0.03189520450426481,-0.013113235367616506,0.013119213990399328,0.0914841490647589,0.07107266399944376,-0.014296478927835662,0.08352617999544777,0.06016319349351395,0.04545202823254868,-0.012150199000182877,0.022883347091002763
tUsageData,-0.09506738142798557,-0.06700194284969566,-0.07331503035274,-0.047533494364242264,0.047983779486417716,0.4310456804473974,0.29589812415703687,0.4499375408218302,0.06080610412048176,1.0,0.12936538456968705,0.08359114353348004,0.4082856020071002,0.6430868227977314,0.2484899855833501,0.09966941455591427,0.1798602711985133,0.21123934310750758,-0.013551786879587132,0.21835971902891926,0.10832898014036293,0.24356728607507752,0.01891559275331368,0.3775341716449012,0.08105863757831198,0.06143215233138949,0.23616365489771626,0.2858223074329307,0.19741042131401879,0.029463601704872402,0.1139487994824159,0.17916585911409783,-0.004220914188830501,0.04153508761030075,-0.05591825912288908,0.10289799437666126,-0.017193932806673754,0.08439390827894507,-0.0073129186230311395,4.2460468687323066e-05,0.058899410338082686,0.09372013229988689,0.020812792944872986,-0.020909744813026026,0.035897487549778055,0.00021034321010901232,0.07114931444617201,0.18474001760524522,-0.07973021731070487,0.09678665873877058,0.2354775621818943,-0.1294382610752862,0.1296040167998898,0.8269865114745488,0.30800123698988485,0.09597979840004767,0.5982779749448708,0.7260341125362483,0.2652461789449664,0.08821848351657993,0.2761504107800769
